films,872
adapted,28
comic,209
books,49
plenty,73
success,126
",",42448
whether,132
they're,163
superheroes,8
(,6014
batman,43
superman,6
spawn,10
),6039
geared,6
toward,57
kids,160
casper,9
arthouse,2
crowd,35
ghost,54
world,619
there's,400
never,716
really,775
a,20115
book,167
like,1712
.,33714
starters,4
created,100
alan,53
moore,37
eddie,58
campbell,52
brought,94
medium,16
whole,227
new,718
level,122
mid,6
'80s,9
12-part,1
series,241
called,157
watchmen,1
say,402
thoroughly,32
researched,1
subject,98
jack,142
ripper,5
saying,80
michael,213
jackson,58
starting,27
look,394
little,768
odd,50
"""",8492
graphic,53
novel,155
will,1253
500,4
pages,10
long,380
includes,52
nearly,164
30,29
consist,6
nothing,308
footnotes,1
words,112
don't,535
dismiss,8
film,4857
source,40
can,1149
get,883
past,191
thing,355
might,290
find,419
another,559
stumbling,9
block,24
hell's,4
directors,54
albert,30
allen,76
hughes,16
getting,198
brothers,75
direct,39
seems,530
almost,451
ludicrous,3
casting,67
carrot,4
top,146
anything,280
riddle,1
:,1502
better,385
that's,350
set,296
ghetto,9
features,112
violent,71
street,58
crime,112
mad,29
geniuses,5
behind,206
menace,67
ii,77
society,97
?,1570
question,139
course,314
whitechapel,2
1888,2
london's,3
east,16
end,520
it's,1883
filthy,3
sooty,1
place,339
whores,1
unfortunates,2
nervous,24
mysterious,69
psychopath,7
carving,2
profession,21
surgical,1
precision,7
first,962
stiff,9
turns,214
copper,4
peter,128
godley,1
robbie,22
coltrane,3
enough,423
calls,42
inspector,19
frederick,4
abberline,2
johnny,31
depp,22
blow,19
crack,14
case,211
widower,3
prophetic,3
dreams,78
unsuccessfully,4
tries,147
quell,2
copious,2
amounts,10
absinthe,1
opium,1
upon,172
arriving,13
befriends,17
unfortunate,35
named,197
mary,71
kelly,43
heather,19
graham,32
isn't,379
proceeds,14
investigate,19
horribly,13
gruesome,12
crimes,18
even,1174
police,124
surgeon,7
can't,275
stomach,9
think,388
anyone,180
needs,102
briefed,1
won't,136
go,542
particulars,5
unique,81
interesting,301
theory,20
identity,44
killer,130
reasons,76
chooses,20
slay,2
bother,10
cloaking,1
screenwriters,26
terry,26
hayes,2
vertical,6
limit,6
rafael,4
yglesias,3
les,23
mis,2
rables,2
good,1189
job,347
keeping,47
hidden,48
viewers,93
funny,385
watch,316
locals,7
blindly,3
point,299
finger,5
blame,25
jews,19
indians,8
englishman,3
capable,33
committing,8
ghastly,6
acts,34
ending,256
whistling,1
stonecutters,1
song,82
simpsons,8
days,167
holds,57
back,557
electric,9
car/who,1
made,488
steve,63
guttenberg,1
star,388
worry,19
-,814
it'll,11
make,772
sense,323
see,951
now,498
onto,59
appearance,59
certainly,195
dark,201
bleak,32
surprising,67
much,1026
looks,164
tim,72
burton,36
planet,103
apes,32
times,319
sleepy,19
hollow,21
2,170
print,12
saw,111
wasn't,109
completely,210
finished,13
color,63
music,273
finalized,2
comments,25
marilyn,6
manson,2
cinematographer,42
deming,1
word,105
ably,9
captures,34
dreariness,1
victorian-era,1
london,36
helped,30
flashy,20
killing,61
scenes,632
remind,13
crazy,40
flashbacks,41
twin,14
peaks,5
though,509
violence,170
pales,3
comparison,40
black-and-white,10
oscar,148
winner,41
martin,97
childs',1
shakespeare,49
love,644
production,160
design,52
original,360
prague,1
surroundings,14
one,2903
creepy,47
acting,320
solid,121
dreamy,7
turning,39
typically,18
strong,177
performance,549
deftly,7
handling,9
british,89
accent,37
ians,1
holm,13
joe,154
gould's,3
secret,93
richardson,15
102,2
dalmatians,1
log,3
great,743
supporting,164
roles,149
big,430
surprise,115
cringed,1
time,1170
opened,25
mouth,47
imagining,2
attempt,89
irish,30
actually,398
half,191
bad,355
however,566
00,2
r,76
violence/gore,2
sexuality,21
language,72
drug,76
content,41
every,450
movie,2385
comes,382
along,281
suspect,42
studio,60
indication,6
stinker,1
everybody's,4
perhaps,263
becomes,276
critical,34
darling,4
mtv,15
films',5
_election,2
high,267
school,192
comedy,389
starring,81
matthew,53
broderick,21
reese,31
witherspoon,21
current,40
example,145
anybody,17
know,569
existed,8
week,41
plot,574
deceptively,4
simple,181
george,139
washington,52
carver,18
student,60
elections,3
tracy,19
flick,95
over-achiever,1
hand,164
raised,33
way,915
mr,165
m,49
sick,36
megalomaniac,4
encourages,6
paul,93
popular-but-slow,1
jock,9
run,166
paul's,4
nihilistic,6
sister,85
jumps,18
race,69
personal,129
side,194
sleeper,10
expectations,53
low,44
going,414
fact,406
quality,92
