Passageiro;Sobrevivente;Classe;Nome;Sexo;Idade;Irmãos;Pais
1;0;3;Braund, Mr. Owen Harris;masculino;22;1;0
2;1;1;Cumings, Mrs. John Bradley (Florence Briggs Thayer);feminino;38;1;0
3;1;3;Heikkinen, Miss. Laina;feminino;26;0;0
4;1;1;Futrelle, Mrs. Jacques Heath (Lily May Peel);feminino;35;1;0
5;0;3;Allen, Mr. William Henry;masculino;35;0;0
7;0;1;McCarthy, Mr. Timothy J;masculino;54;0;0
8;0;3;Palsson, Master. Gosta Leonard;masculino;2;3;1
9;1;3;Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg);feminino;27;0;2
10;1;2;Nasser, Mrs. Nicholas (Adele Achem);feminino;14;1;0
11;1;3;Sandstrom, Miss. Marguerite Rut;feminino;4;1;1
12;1;1;Bonnell, Miss. Elizabeth;feminino;58;0;0
13;0;3;Saundercock, Mr. William Henry;masculino;20;0;0
14;0;3;Andersson, Mr. Anders Johan;masculino;39;1;5
15;0;3;Vestrom, Miss. Hulda Amanda Adolfina;feminino;14;0;0
16;1;2;Hewlett, Mrs. (Mary D Kingcome) ;feminino;55;0;0
17;0;3;Rice, Master. Eugene;masculino;2;4;1
19;0;3;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);feminino;31;1;0
21;0;2;Fynney, Mr. Joseph J;masculino;35;0;0
22;1;2;Beesley, Mr. Lawrence;masculino;34;0;0
23;1;3;"McGowan, Miss. Anna ""Annie""";feminino;15;0;0
24;1;1;Sloper, Mr. William Thompson;masculino;28;0;0
25;0;3;Palsson, Miss. Torborg Danira;feminino;8;3;1
26;1;3;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);feminino;38;1;5
28;0;1;Fortune, Mr. Charles Alexander;masculino;19;3;2
31;0;1;Uruchurtu, Don. Manuel E;masculino;40;0;0
34;0;2;Wheadon, Mr. Edward H;masculino;66;0;0
35;0;1;Meyer, Mr. Edgar Joseph;masculino;28;1;0
36;0;1;Holverson, Mr. Alexander Oskar;masculino;42;1;0
38;0;3;Cann, Mr. Ernest Charles;masculino;21;0;0
39;0;3;Vander Planke, Miss. Augusta Maria;feminino;18;2;0
40;1;3;Nicola-Yarred, Miss. Jamila;feminino;14;1;0
41;0;3;Ahlin, Mrs. Johan (Johanna Persdotter Larsson);feminino;40;1;0
42;0;2;Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);feminino;27;1;0
44;1;2;Laroche, Miss. Simonne Marie Anne Andree;feminino;3;1;2
45;1;3;Devaney, Miss. Margaret Delia;feminino;19;0;0
50;0;3;Arnold-Franchi, Mrs. Josef (Josefine Franchi);feminino;18;1;0
51;0;3;Panula, Master. Juha Niilo;masculino;7;4;1
52;0;3;Nosworthy, Mr. Richard Cater;masculino;21;0;0
53;1;1;Harper, Mrs. Henry Sleeper (Myna Haxtun);feminino;49;1;0
54;1;2;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);feminino;29;1;0
55;0;1;Ostby, Mr. Engelhart Cornelius;masculino;65;0;1
57;1;2;Rugg, Miss. Emily;feminino;21;0;0
58;0;3;Novel, Mr. Mansouer;masculino;28,5;0;0
59;1;2;West, Miss. Constance Mirium;feminino;5;1;2
60;0;3;Goodwin, Master. William Frederick;masculino;11;5;2
61;0;3;Sirayanian, Mr. Orsen;masculino;22;0;0
62;1;1;Icard, Miss. Amelie;feminino;38;0;0
63;0;1;Harris, Mr. Henry Birkhardt;masculino;45;1;0
64;0;3;Skoog, Master. Harald;masculino;4;3;2
67;1;2;Nye, Mrs. (Elizabeth Ramell);feminino;29;0;0
68;0;3;Crease, Mr. Ernest James;masculino;19;0;0
69;1;3;Andersson, Miss. Erna Alexandra;feminino;17;4;2
70;0;3;Kink, Mr. Vincenz;masculino;26;2;0
71;0;2;Jenkin, Mr. Stephen Curnow;masculino;32;0;0
72;0;3;Goodwin, Miss. Lillian Amy;feminino;16;5;2
73;0;2;Hood, Mr. Ambrose Jr;masculino;21;0;0
74;0;3;Chronopoulos, Mr. Apostolos;masculino;26;1;0
75;1;3;Bing, Mr. Lee;masculino;32;0;0
76;0;3;Moen, Mr. Sigurd Hansen;masculino;25;0;0
79;1;2;Caldwell, Master. Alden Gates;masculino;0,83;0;2
80;1;3;Dowdell, Miss. Elizabeth;feminino;30;0;0
81;0;3;Waelens, Mr. Achille;masculino;22;0;0
82;1;3;Sheerlinck, Mr. Jan Baptist;masculino;29;0;0
84;0;1;Carrau, Mr. Francisco M;masculino;28;0;0
85;1;2;Ilett, Miss. Bertha;feminino;17;0;0
86;1;3;Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);feminino;33;3;0
87;0;3;Ford, Mr. William Neal;masculino;16;1;3
89;1;1;Fortune, Miss. Mabel Helen;feminino;23;3;2
90;0;3;Celotti, Mr. Francesco;masculino;24;0;0
91;0;3;Christmann, Mr. Emil;masculino;29;0;0
92;0;3;Andreasson, Mr. Paul Edvin;masculino;20;0;0
